               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 118,              1.7788,             0.78933,              1.5252,             0.97171,             0.99671,              0.9873,             0.68669,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,              1.7703,             0.78443,              1.5424,             0.97434,             0.99266,             0.98885,             0.68909,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,               1.776,             0.78831,              1.5419,              0.9735,             0.99773,             0.98722,             0.68452,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,               1.757,             0.77577,              1.5181,             0.97706,             0.99872,             0.98633,             0.68648,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.7709,             0.78831,              1.5364,              0.9725,             0.99397,             0.98668,             0.68438,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,              1.7648,             0.77895,              1.5061,             0.97554,             0.99671,             0.98699,             0.68894,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,              1.7559,             0.78201,               1.531,             0.97292,             0.99872,             0.98815,             0.68933,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,              1.7652,             0.78122,              1.5253,             0.97416,             0.99671,             0.98727,              0.6886,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,              1.7595,             0.77986,              1.5265,             0.97648,             0.99564,             0.98934,             0.69275,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,              1.7605,             0.78395,              1.5258,             0.97568,             0.99574,             0.98702,             0.69358,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,               1.759,             0.77979,              1.5103,             0.97626,             0.99671,             0.98815,             0.68515,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,              1.7503,             0.77313,              1.5223,             0.97554,             0.99622,             0.98583,             0.68864,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,              1.7524,              0.7768,              1.5298,             0.97279,              0.9982,             0.98766,             0.68965,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,              1.7535,             0.78147,              1.5114,              0.9738,             0.99872,             0.98818,             0.68626,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 132,               1.761,             0.78636,              1.5319,              0.9741,             0.99872,             0.98647,             0.68444,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,              1.7431,             0.77546,                1.53,             0.97572,             0.99607,             0.98693,             0.68592,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,              1.7533,             0.77678,              1.5118,             0.97426,             0.99671,              0.9856,             0.68387,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,                1.75,             0.77728,               1.531,             0.97352,             0.99871,             0.98641,              0.6889,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,              1.7542,             0.77684,              1.5193,             0.97322,             0.99872,             0.98665,              0.6842,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 137,              1.7487,             0.77333,              1.5323,             0.97262,             0.99872,             0.98704,             0.68702,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 138,              1.7425,             0.76713,              1.5298,             0.97469,             0.99872,             0.98634,             0.68635,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
                 139,              1.7463,             0.77713,              1.5152,             0.97587,             0.99872,             0.98797,             0.68613,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 140,              1.7471,             0.77044,              1.5203,              0.9765,             0.99872,              0.9884,             0.69323,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 141,              1.7377,             0.77462,              1.5199,              0.9756,             0.99872,              0.9867,             0.69066,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 142,              1.7431,             0.77032,              1.5099,              0.9766,             0.99788,             0.98785,             0.69577,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 143,              1.7426,             0.76766,              1.5136,             0.97597,             0.99872,             0.98826,             0.68998,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 144,              1.7436,             0.77077,              1.5011,             0.97582,             0.99872,             0.98748,             0.69029,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
                 145,              1.7326,             0.75784,              1.4995,             0.97455,             0.99671,             0.98702,             0.68969,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                 146,               1.743,             0.77006,              1.5175,             0.97465,             0.99671,             0.98807,             0.68822,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                 147,              1.7373,             0.77037,              1.5182,             0.97196,             0.99872,             0.98722,             0.68558,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                 148,              1.7305,              0.7651,              1.5081,             0.97459,             0.99671,             0.98799,             0.68628,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 149,              1.7365,              0.7684,              1.5174,             0.97494,             0.99872,             0.98776,             0.68779,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                 150,              1.7324,             0.76389,               1.507,              0.9751,             0.99872,             0.98785,             0.69036,                   0,                   0,                   0,            0.005083,            0.005083,            0.005083
                 151,              1.7437,             0.76805,              1.5073,             0.97574,             0.99872,             0.98776,             0.68841,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 152,              1.7385,             0.76541,              1.5098,             0.97465,             0.99872,             0.98766,             0.68669,                   0,                   0,                   0,            0.005017,            0.005017,            0.005017
                 153,              1.7354,             0.77127,              1.5117,             0.97411,             0.99872,             0.98555,             0.68629,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                 154,              1.7277,             0.76128,              1.5045,             0.97311,             0.99872,             0.98619,             0.68831,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 155,              1.7234,             0.75542,              1.5034,              0.9745,             0.99656,              0.9865,             0.69027,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                 156,              1.7119,             0.75151,              1.5051,              0.9775,             0.99823,             0.98659,             0.68745,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
                 157,              1.7277,             0.76264,              1.5107,             0.97467,             0.99691,             0.98626,             0.68916,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 158,              1.7247,             0.75523,               1.508,             0.97733,             0.99872,              0.9869,              0.6888,                   0,                   0,                   0,            0.004819,            0.004819,            0.004819
                 159,              1.7334,             0.76771,              1.5084,             0.97722,             0.99872,             0.98884,             0.69206,                   0,                   0,                   0,            0.004786,            0.004786,            0.004786
